0.000	0.008
0.097	0.005
0.197	0.028
0.297	0.055
0.397	0.056
0.497	0.218
0.597	0.191
0.697	0.434
0.797	0.429
0.897	0.688
0.997	1.300
1.097	1.078
1.197	2.793
1.297	3.715
1.397	4.480
1.497	7.176
1.597	6.825
1.697	5.171
1.797	6.187
1.897	5.023
1.997	3.334
2.097	2.239
2.197	1.493
2.297	1.008
2.397	1.562
2.647	0.940
2.897	0.518
3.147	0.249
3.397	0.116
3.647	0.055
3.897	0.036
4.397	0.007
4.897	0.001
20.881	0.003
21.881	0.021
22.881	0.109
23.881	0.385
24.881	0.973
25.881	1.833
26.881	2.671
27.881	3.093
28.881	2.913
29.881	2.276
30.881	1.503
31.881	0.882
32.881	0.727
33.881	1.389
34.881	2.175
35.881	2.086
36.881	1.310
37.881	0.676
38.725	0.010
38.881	0.416
39.881	0.370
40.881	0.350
41.881	0.269
42.732	0.965
42.881	0.166
43.405	0.029
43.881	0.091
43.963	0.372
44.147	0.128
44.881	0.043
45.881	0.016
46.881	0.004
47.913	0.129
50.599	1.216
52.553	0.440
55.109	0.065
55.852	0.154
57.004	0.159
58.092	0.000
58.592	0.001
59.092	0.003
59.592	0.010
60.092	0.026
60.592	0.058
61.092	0.126
61.592	0.206
62.092	0.301
62.592	0.377
63.092	0.418
63.592	0.377
64.092	0.301
64.386	0.003
64.592	0.206
64.886	0.007
65.092	0.126
65.386	0.023
65.592	0.058
65.886	0.060
66.092	0.026
66.386	0.133
66.592	0.010
66.886	0.288
67.092	0.003
67.386	0.471
67.592	0.001
67.886	0.688
68.092	0.000
68.386	0.863
68.886	0.956
69.386	0.863
69.886	0.688
70.386	0.471
70.886	0.288
71.386	0.133
71.725	0.306
71.886	0.060
72.386	0.023
72.886	0.007
73.386	0.003
74.820	0.245
76.169	0.088
76.868	0.100
77.221	0.273
79.427	0.020
80.865	0.238
81.965	0.137
83.429	0.151
84.170	0.212
84.218	0.112
86.123	0.014
87.374	0.010
88.259	0.009
88.876	0.013
89.871	0.026
90.690	0.023
91.784	0.052
93.247	0.178
94.333	0.133
96.192	0.026
96.701	0.054
97.543	0.023
98.514	0.005
98.840	0.010
100.263	0.014
100.784	0.003
101.620	0.003
102.426	0.005
102.842	0.001
103.170	0.001
103.594	0.006
104.236	0.002
105.008	0.001
105.799	0.002
106.990	0.006
108.711	0.010
109.189	0.008
109.975	0.007
111.148	0.005
112.339	0.013
113.145	0.010
113.882	0.005
114.892	0.002
115.612	0.002
116.455	0.001
117.594	0.005
118.481	0.023
119.245	0.023
120.360	0.009
121.764	0.013
123.594	0.009
124.247	0.005
125.709	0.012
127.715	0.003
129.373	0.002
130.271	0.004
132.887	0.060
133.402	0.025
134.813	0.082
135.371	0.006
136.379	0.005
136.916	0.003
138.243	0.008
139.737	0.010
141.093	0.006
142.461	0.047
144.001	0.004
144.391	0.007
147.073	0.021
148.311	0.015
148.895	0.001
150.849	0.004
151.442	0.001
152.854	0.000
154.169	0.002
156.093	0.001
157.003	0.003
158.134	0.003
159.271	0.002
162.054	0.007
164.173	0.002
